OcutimeStamp,UnityTimeStamp,leftPor.x,leftPor.y,rightPor.x,rightPor.y,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,torsoPosition.x,torsoPosition.y,torsoPosition.z,torsoRotation.x,torsoRotation.y,torsoRotation.z,torsoRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,valL,valR
20329922500,63709683154118,0.7103951,0.5127062,0.637507,0.5075529,0.1828403,1.556183,0.4197322,0.08054927,0.1337887,0.01254341,0.9876513,1.773798,1.105193,1.628135,0,0,0,1,-0.1798549,-1.549264,-0.4584219,-0.4775249,-0.8729632,-0.09952516,-0.02956049,0.006484711,-0.03873428,0.03553119,0.007353287,-0.03864504,0.4359283,0.03134155,0.8994293,0.4006042,0.01602173,0.9161072,True,True
20329931144,63709683154120,0.7026811,0.5113831,0.6336979,0.5074521,0.1836709,1.556758,0.4192567,0.0782983,0.1393309,0.01286205,0.9870617,1.773798,1.105193,1.628135,0,0,0,1,-0.1807496,-1.549937,-0.4576609,-0.4515095,-0.8867006,-0.09950455,-0.02962448,0.006354233,-0.03836817,0.03546707,0.007288025,-0.0384402,0.4208984,0.02806091,0.906662,0.392807,0.01580811,0.9194794,True,True
20329939561,63709683154131,0.7042135,0.5132557,0.6160555,0.5028548,0.1845152,1.557143,0.4188265,0.07748283,0.1436666,0.01319245,0.9865,1.773798,1.105193,1.628135,0,0,0,1,-0.1816487,-1.550121,-0.4579688,-0.4364951,-0.8941091,-0.1002044,-0.029707,0.006316589,-0.03831119,0.03544011,0.007728272,-0.03997343,0.4238586,0.03300476,0.9051208,0.3556213,0.003433228,0.9346161,True,True
20329948027,63709683154142,0.6942288,0.5103195,0.6115922,0.5009696,0.185306,1.557288,0.4185272,0.07721306,0.1475441,0.01378299,0.9859406,1.773798,1.105193,1.628135,0,0,0,1,-0.1824969,-1.550304,-0.4575861,-0.4252662,-0.8992132,-0.1027829,-0.02977371,0.006170944,-0.0379059,0.03539198,0.00779631,-0.04021188,0.404007,0.0254364,0.9143982,0.3459167,-0.001754761,0.9382477,True,True
20329956100,63709683154152,0.6926353,0.5074013,0.6046201,0.4945339,0.185268,1.557092,0.4186565,0.07845228,0.1466851,0.01392676,0.9859689,1.773798,1.105193,1.628135,0,0,0,1,-0.1825135,-1.550112,-0.4577259,-0.4331861,-0.8952579,-0.104226,-0.02983861,0.006183182,-0.03799184,0.03534766,0.007777374,-0.04014685,0.4008331,0.01760864,0.9159698,0.3304749,-0.0196228,0.9436035,True,True
20329964313,63709683154153,0.6845855,0.5047799,0.6159596,0.5036597,0.1860566,1.55742,0.4182746,0.07735984,0.1512641,0.01432884,0.9853575,1.773798,1.105193,1.628135,0,0,0,1,-0.1833516,-1.550675,-0.4565652,-0.4164165,-0.9030331,-0.1054919,-0.02987981,0.006227066,-0.03819066,0.03528964,0.007261627,-0.03839049,0.3842773,0.01062012,0.9231415,0.3554077,0.005645752,0.9346771,True,True
20329972671,63709683154165,0.6830828,0.5088114,0.6006049,0.4991724,0.1867053,1.557286,0.4180462,0.07827885,0.1542723,0.01474891,0.9848121,1.773798,1.105193,1.628135,0,0,0,1,-0.1840426,-1.550327,-0.4570802,-0.4138057,-0.9039716,-0.1077049,-0.02994467,0.006144333,-0.03793486,0.03526996,0.007774017,-0.04013329,0.381073,0.02160645,0.9242859,0.3215485,-0.006774902,0.9468536,True,True
20329981062,63709683154177,0.6734166,0.5057514,0.5965174,0.494077,0.1873264,1.557137,0.4179737,0.07952664,0.156711,0.0150221,0.9843229,1.773798,1.105193,1.628135,0,0,0,1,-0.1847079,-1.550213,-0.4568745,-0.4138741,-0.9037403,-0.1093692,-0.03000102,0.006086563,-0.03773546,0.03523799,0.007761002,-0.04006613,0.360611,0.01339722,0.9326019,0.3122559,-0.02102661,0.9497528,True,True
20329989416,63709683154185,0.6748912,0.5051458,0.595908,0.4983352,0.1871859,1.557028,0.4182354,0.08038314,0.1554389,0.01492007,0.9844566,1.773798,1.105193,1.628135,0,0,0,1,-0.1845924,-1.550093,-0.457131,-0.4208386,-0.9004964,-0.1095504,-0.03003223,0.006098938,-0.03773933,0.03521924,0.00777063,-0.04005185,0.3637848,0.01171875,0.9313965,0.3109283,-0.009140015,0.9503784,True,True
20329997931,63709683154187,0.6708465,0.5035284,0.5929077,0.4950627,0.1878613,1.557093,0.4180222,0.0805112,0.1587374,0.01524571,0.9839146,1.773798,1.105193,1.628135,0,0,0,1,-0.1852938,-1.550088,-0.457108,-0.4135962,-0.9036889,-0.1108355,-0.03005798,0.006138931,-0.03782335,0.03519302,0.007871597,-0.04034828,0.3550873,0.00730896,0.9347839,0.3040466,-0.01832581,0.9524689,True,True
20330006381,63709683154198,0.6645865,0.5029627,0.5881602,0.4971114,0.1883416,1.556966,0.4180955,0.08139773,0.1598196,0.01523414,0.9836667,1.773798,1.105193,1.628135,0,0,0,1,-0.1857978,-1.549929,-0.4571905,-0.4155787,-0.9027603,-0.1109872,-0.0300834,0.006247254,-0.0381078,0.0351711,0.007825592,-0.04008208,0.3414307,0.005783081,0.9398804,0.2931519,-0.01263428,0.9559784,True,True
20330014403,63709683154210,0.6694593,0.5034311,0.5891017,0.4952935,0.1886245,1.556766,0.4180801,0.08199382,0.160322,0.01506898,0.9835379,1.773798,1.105193,1.628135,0,0,0,1,-0.1861003,-1.549632,-0.4574151,-0.4169277,-0.902195,-0.1105243,-0.03010831,0.006389816,-0.0385002,0.0351568,0.007878189,-0.04016977,0.3520813,0.007049561,0.9359283,0.2953033,-0.01773071,0.9552307,True,True
20330022613,63709683154219,0.6653973,0.5019987,0.5859662,0.4952214,0.1884369,1.556769,0.4183569,0.08207741,0.1590319,0.01489822,0.983743,1.773798,1.105193,1.628135,0,0,0,1,-0.1859314,-1.549646,-0.4576085,-0.4207216,-0.9005401,-0.10964,-0.03013402,0.006354965,-0.03833517,0.035145,0.007891678,-0.04016797,0.3432159,0.003112793,0.9392395,0.2880402,-0.01797485,0.9574432,True,True
20330030954,63709683154221,0.6633778,0.5042108,0.5812578,0.4953239,0.1889657,1.55674,0.4183295,0.08248164,0.1607613,0.01496247,0.983427,1.773798,1.105193,1.628135,0,0,0,1,-0.1864742,-1.549654,-0.4574268,-0.418821,-0.9013897,-0.1099346,-0.03015265,0.006307221,-0.03814612,0.03513566,0.007864579,-0.04004851,0.3387604,0.009246826,0.9408264,0.2770386,-0.01774597,0.9606781,True,True
20330039441,63709683154232,0.6605453,0.5034282,0.5828496,0.4968258,0.1891797,1.556562,0.4184674,0.08299413,0.160538,0.01483306,0.9834223,1.773798,1.105193,1.628135,0,0,0,1,-0.1867004,-1.549489,-0.4575022,-0.4217578,-0.9000636,-0.1095723,-0.03017047,0.006249481,-0.0379267,0.03512907,0.00789801,-0.04014295,0.332489,0.007095337,0.9430695,0.2807922,-0.01348877,0.959671,True,True
20330047857,63709683154243,0.6609452,0.5053199,0.5832046,0.4976576,0.1894987,1.556386,0.4185885,0.0838837,0.1602204,0.01461517,0.983402,1.773798,1.105193,1.628135,0,0,0,1,-0.1870267,-1.549314,-0.4576081,-0.4265848,-0.8978516,-0.1090321,-0.03018112,0.006235946,-0.03786566,0.03512497,0.007907516,-0.04017348,0.3333588,0.01234436,0.9427032,0.2816315,-0.01113892,0.9594574,True,True
20330056041,63709683154253,0.6622067,0.5058804,0.5834601,0.497527,0.1893224,1.556348,0.4187832,0.08410949,0.1591021,0.01436173,0.983568,1.773798,1.105193,1.628135,0,0,0,1,-0.1868578,-1.549273,-0.4578038,-0.4303681,-0.8961765,-0.1079399,-0.03019153,0.006233871,-0.03783702,0.03512085,0.007917022,-0.04020403,0.3361511,0.0138855,0.9416962,0.2822266,-0.01150513,0.9592743,True,True
20330064400,63709683154254,0.6582425,0.5043282,0.5800675,0.498859,0.1897368,1.556235,0.4188825,0.08472365,0.1595817,0.01421817,0.9834396,1.773798,1.105193,1.628135,0,0,0,1,-0.1873185,-1.549133,-0.4579679,-0.4323697,-0.8952814,-0.1073674,-0.03025166,0.006245056,-0.03788158,0.03508833,0.007959122,-0.04028926,0.3273468,0.009613037,0.9448395,0.2742767,-0.007766724,0.9616089,True,True
20330072797,63709683154266,0.6247373,0.5062568,0.5605681,0.5014883,0.190052,1.555993,0.4190906,0.08570842,0.1589213,0.01360706,0.9834698,1.773798,1.105193,1.628135,0,0,0,1,-0.1878524,-1.548966,-0.4578638,-0.4413611,-0.8913056,-0.1038016,-0.03048566,0.006222427,-0.03781157,0.03488495,0.007831803,-0.03973494,0.2494812,0.01535034,0.9682465,0.227478,-0.0003356934,0.9737701,True,True
20330081314,63709683154277,0.5886427,0.506627,0.535167,0.5092191,0.1903012,1.555638,0.4192285,0.08670138,0.1579703,0.01269244,0.9835483,1.773798,1.105193,1.628135,0,0,0,1,-0.1884278,-1.548481,-0.458268,-0.4520109,-0.8865385,-0.09866887,-0.03080022,0.006505966,-0.03866159,0.03454712,0.007809632,-0.03941746,0.1598969,0.01672363,0.9869843,0.1640625,0.02207947,0.9861908,True,True
20330089464,63709683154286,0.5581158,0.5153642,0.5078445,0.5123525,0.1902026,1.5557,0.4194018,0.08685825,0.1574309,0.01224019,0.9836267,1.773798,1.105193,1.628135,0,0,0,1,-0.1887162,-1.548575,-0.4581292,-0.4576752,-0.8839424,-0.0958087,-0.0311723,0.006454483,-0.03837483,0.03414517,0.007795685,-0.03907996,0.08076477,0.04249573,0.9958191,0.09356689,0.03144836,0.9951019,True,True
20330097840,63709683154288,0.5229198,0.5144867,0.4732906,0.5165019,0.1905824,1.555522,0.4195948,0.08767514,0.1571591,0.01165843,0.9836047,1.773798,1.105193,1.628135,0,0,0,1,-0.1894629,-1.548234,-0.4586322,-0.4659265,-0.8799402,-0.09283096,-0.03150192,0.006705154,-0.03900976,0.03374084,0.007869888,-0.03906502,-0.01216125,0.04005432,0.999115,0.002548218,0.04376221,0.9990234,True,True
20330106108,63709683154303,0.4898332,0.5153363,0.4421976,0.5176979,0.1908848,1.555286,0.4199077,0.08838578,0.1560925,0.01062712,0.9837226,1.773798,1.105193,1.628135,0,0,0,1,-0.1901546,-1.547876,-0.4592755,-0.4757841,-0.875181,-0.08767922,-0.03185822,0.006842209,-0.03946419,0.03331874,0.00797673,-0.03927121,-0.09927368,0.04234314,0.9941559,-0.079422,0.04711914,0.9957123,True,True
20330114398,63709683154310,0.4581694,0.5144496,0.4066107,0.5231628,0.1911723,1.555027,0.4201841,0.08906616,0.1545545,0.009275539,0.9839178,1.773798,1.105193,1.628135,0,0,0,1,-0.1908216,-1.54756,-0.4597057,-0.487134,-0.8695584,-0.08104801,-0.03220052,0.006986115,-0.03996341,0.03290192,0.00794867,-0.03907991,-0.180603,0.03929138,0.9827576,-0.1710663,0.06233215,0.9832764,True,True
20330122830,63709683154319,0.4301882,0.5201501,0.3792059,0.5258628,0.1914973,1.554821,0.4205565,0.08973653,0.153213,0.007996188,0.9840779,1.773798,1.105193,1.628135,0,0,0,1,-0.1915123,-1.54722,-0.4605615,-0.4972857,-0.8643426,-0.07495899,-0.03250362,0.007151153,-0.040534,0.03247366,0.008050949,-0.03947592,-0.2493744,0.05488586,0.9668427,-0.2387848,0.0690918,0.9685974,True,True
20330131067,63709683154328,0.414269,0.5221887,0.3495868,0.5256773,0.1913921,1.554859,0.4205697,0.0897701,0.1525448,0.007592432,0.9841818,1.773798,1.105193,1.628135,0,0,0,1,-0.1916762,-1.547099,-0.4611188,-0.501512,-0.8620396,-0.0733042,-0.03272873,0.007343536,-0.04117889,0.03216066,0.008176818,-0.03991928,-0.2869263,0.06001282,0.9560547,-0.3083344,0.06716919,0.9488983,True,True
20330139564,63709683154330,0.4037151,0.5211645,0.3347628,0.528162,0.1917275,1.554656,0.4208533,0.09052673,0.1514643,0.006503048,0.9842872,1.773798,1.105193,1.628135,0,0,0,1,-0.1921495,-1.546923,-0.4612921,-0.5094867,-0.857785,-0.06803101,-0.03283516,0.007286117,-0.04094093,0.031991,0.008179901,-0.03993672,-0.3112335,0.0566864,0.9486389,-0.3412781,0.07318115,0.9371033,True,True
20330147813,63709683154341,0.406456,0.5253419,0.3355264,0.5251431,0.1919003,1.554376,0.4211431,0.09118874,0.1496163,0.004902581,0.9845179,1.773798,1.105193,1.628135,0,0,0,1,-0.192348,-1.546621,-0.4616069,-0.5184702,-0.8530474,-0.05915094,-0.03286847,0.007376053,-0.0411805,0.03197296,0.00813385,-0.03974725,-0.3047638,0.06845093,0.9499512,-0.339798,0.06494141,0.9382477,True,True
20330156100,63709683154352,0.4090117,0.5223648,0.3352859,0.5274049,0.1921107,1.554234,0.4215797,0.09152503,0.1473112,0.003378924,0.9848407,1.773798,1.105193,1.628135,0,0,0,1,-0.1925404,-1.546516,-0.461899,-0.5273359,-0.8481738,-0.0501803,-0.03287404,0.007303314,-0.04092087,0.03201448,0.008132309,-0.03971771,-0.2990723,0.06027222,0.9523163,-0.3401794,0.07113647,0.9376526,True,True
20330164342,63709683154362,0.4062468,0.5205178,0.3361741,0.5276799,0.1919259,1.554316,0.42157,0.09124968,0.1464894,0.00332896,0.984989,1.773798,1.105193,1.628135,0,0,0,1,-0.1923452,-1.546627,-0.4617921,-0.5285413,-0.8474638,-0.04948923,-0.03288008,0.007297073,-0.04089769,0.03204141,0.008080337,-0.03954652,-0.3054962,0.05499268,0.950592,-0.3382111,0.07194519,0.9383087,True,True
20330172581,63709683154364,0.4083963,0.5206438,0.3363073,0.5271326,0.1921871,1.554145,0.4219031,0.09181418,0.1447444,0.002033885,0.985198,1.773798,1.105193,1.628135,0,0,0,1,-0.1925998,-1.546498,-0.4619793,-0.536663,-0.8427547,-0.04192118,-0.03288643,0.00727861,-0.04084262,0.03206105,0.00801474,-0.03930974,-0.3005676,0.05543518,0.9521332,-0.3379517,0.07044983,0.9385071,True,True
20330181153,63709683154375,0.4127208,0.5229806,0.3362111,0.5286692,0.1923983,1.55409,0.4223309,0.09201984,0.142011,0.0009122122,0.9855782,1.773798,1.105193,1.628135,0,0,0,1,-0.1928102,-1.546492,-0.462236,-0.5460395,-0.8370454,-0.03458142,-0.03290431,0.007203491,-0.04060646,0.03208051,0.007993576,-0.0392039,-0.2904816,0.06216431,0.9548492,-0.3380585,0.07466125,0.9381409,True,True
